项目id	指数类型	关键词	权重
740	oshi	邀请	0.16
740	ozhi	计划	0.48
740	oshi	计划	12.64
740	oshi	四国	2.16
740	ozhi	全网	0.48
740	oshi	全网	7.16
740	oshi	降噪	39.6
740	oshi	奇趣	1.48
740	oshi	Line	4.92
740	oshi	歌迷	1.4
740	oshi	广播	3.56
740	oshi	Green	98.08
740	oshi	未来	10.52
740	ozhi	多媒体	0.24
740	oshi	多媒体	8.64
740	ozhi	蔬菜	0.0
740	oshi	蔬菜	36.84
740	ozhi	小精灵	0.36
740	oshi	小精灵	9.08
740	oshi	足球	17.04
740	oshi	动画	12.72
740	oshi	大型	23.04
740	oshi	叔叔	1.72
740	oshi	铠甲	39.4
740	oshi	侦探	0.12
740	ozhi	游戏	2.28
740	oshi	游戏	11.76
